Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 18:59:47,-239,64.0,,,
2024-12-06 18:55:28,-138,-138.0,,,
2024-12-06 19:02:48,64,64.0,,,
2024-12-06 19:01:50,-744,64.0,,,
2024-12-06 18:56:30,-845,-340.0,,,
2024-12-06 18:59:40,-845,-946.0,,,
2024-12-06 18:56:08,174,94.0,,,
2024-12-06 18:55:10,-845,-643.0,,,
2024-12-06 18:56:37,-744,64.0,,,
2024-12-06 18:55:19,-138,64.0,,,
2024-12-06 19:02:46,-744,94.0,,,
2024-12-06 18:55:26,-946,64.0,,,
2024-12-06 18:59:49,-845,64.0,,,
2024-12-06 18:56:01,-1047,64.0,,,
2024-12-06 19:01:59,64,64.0,,,
2024-12-06 18:56:39,-542,64.0,,,
2024-12-06 18:56:06,-643,-1047.0,,,
2024-12-06 18:55:21,-845,-744.0,,,
2024-12-06 19:02:41,64,64.0,,,
2024-12-06 18:56:52,64,64.0,,,
2024-12-06 19:01:32,-1047,604.0,,,
2024-12-06 19:02:15,-542,-138.0,,,
2024-12-06 18:59:25,-108,64.0,,,
2024-12-06 19:02:12,-340,64.0,,,
2024-12-06 19:01:35,-340,64.0,,,
2024-12-06 18:56:55,64,64.0,,,
2024-12-06 18:59:22,-1047,64.0,,,
2024-12-06 18:55:44,-1047,-441.0,,,
2024-12-06 19:02:24,-744,-542.0,,,
2024-12-06 19:01:03,-946,64.0,,,
2024-12-06 18:59:14,-138,64.0,,,
2024-12-06 19:01:04,-1148,64.0,,,
2024-12-06 19:02:23,-946,-542.0,,,
2024-12-06 18:55:43,64,64.0,,,
2024-12-06 18:59:13,-946,64.0,,,
2024-12-06 19:01:58,64,64.0,,,
2024-12-06 18:56:38,-643,-239.0,,,
2024-12-06 18:55:20,-845,104.0,,,
2024-12-06 19:02:40,-1350,-441.0,,,
2024-12-06 18:56:07,-542,64.0,,,
2024-12-06 18:55:18,64,64.0,,,
2024-12-06 18:56:00,-340,-977.0,,,
2024-12-06 18:59:48,64,64.0,,,
2024-12-06 19:02:47,-441,-946.0,,,
2024-12-06 18:55:27,-946,-643.0,,,
