Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 10:34:07,238,48.0,488.0,48.0,518.0
2024-12-06 10:33:10,288,48.0,468.0,48.0,48.0
2024-12-06 10:30:37,-1366,48.0,-53.0,-659.0,48.0
2024-12-06 10:34:53,-962,-861.0,-659.0,-861.0,-1063.0
2024-12-06 10:28:57,158,488.0,118.0,48.0,48.0
2024-12-06 10:34:54,-35,-255.0,137.0,48.0,-457.0
2024-12-06 10:33:43,48,48.0,48.0,48.0,-558.0
2024-12-06 10:28:50,-1265,-457.0,-154.0,-659.0,48.0
2024-12-06 10:30:52,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:55,48,68.0,458.0,48.0,48.0
2024-12-06 10:30:09,48,48.0,48.0,48.0,-53.0
2024-12-06 10:28:02,-388,48.0,266.0,-356.0,427.0
2024-12-06 10:34:39,48,78.0,508.0,48.0,508.0
2024-12-06 10:30:36,48,48.0,-255.0,-659.0,48.0
2024-12-06 10:33:11,-356,-861.0,288.0,-558.0,137.0
2024-12-06 10:34:06,-558,-1265.0,-558.0,-760.0,-356.0
2024-12-06 10:33:29,-255,-760.0,-154.0,-659.0,-1164.0
2024-12-06 10:28:05,-962,48.0,127.0,-53.0,48.0
2024-12-06 10:34:01,118,78.0,488.0,48.0,48.0
2024-12-06 10:33:16,-773,48.0,54.0,-861.0,46.0
2024-12-06 10:30:31,48,48.0,48.0,48.0,48.0
2024-12-06 10:28:33,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:08,-1063,-760.0,-659.0,-1265.0,-86.0
2024-12-06 10:30:38,-760,-659.0,-154.0,-962.0,-356.0
2024-12-06 10:34:37,48,48.0,48.0,-255.0,48.0
2024-12-06 10:33:20,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:07,-861,48.0,-558.0,-1164.0,-356.0
2024-12-06 10:33:18,-255,48.0,48.0,-1366.0,-760.0
2024-12-06 10:28:34,-457,48.0,48.0,-1063.0,-457.0
2024-12-06 10:30:00,48,48.0,-154.0,48.0,48.0
2024-12-06 10:33:27,-558,48.0,-457.0,-255.0,48.0
2024-12-06 10:34:30,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:54,104,-427.0,518.0,-760.0,215.0
2024-12-06 10:28:58,-1155,236.0,368.0,-457.0,135.0
2024-12-06 10:30:53,-154,48.0,48.0,-760.0,-154.0
2024-12-06 10:33:42,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:55,-1164,-356.0,-861.0,-558.0,-558.0
2024-12-06 10:28:51,48,48.0,48.0,48.0,48.0
2024-12-06 10:34:52,48,48.0,48.0,-53.0,48.0
2024-12-06 10:33:45,-962,-558.0,347.0,36.0,518.0
2024-12-06 10:28:56,48,48.0,48.0,48.0,48.0
2024-12-06 10:33:58,-962,-255.0,-457.0,-659.0,-1063.0
2024-12-06 10:30:40,-1063,48.0,48.0,-962.0,87.0
2024-12-06 10:34:48,298,48.0,518.0,48.0,48.0
2024-12-06 10:30:47,-760,48.0,-356.0,-861.0,-659.0
2024-12-06 10:28:45,-962,48.0,-53.0,-861.0,-962.0
2024-12-06 10:34:41,48,48.0,328.0,48.0,48.0
2024-12-06 10:30:49,48,48.0,48.0,48.0,48.0
2024-12-06 10:33:51,-457,-861.0,-558.0,-53.0,48.0
2024-12-06 10:34:46,398,78.0,518.0,528.0,528.0
2024-12-06 10:30:22,-962,48.0,48.0,-356.0,48.0
2024-12-06 10:28:29,-1164,78.0,68.0,-457.0,-53.0
2024-12-06 10:28:16,-760,-861.0,428.0,-1164.0,48.0
2024-12-06 10:33:02,-962,48.0,-56.0,-760.0,237.0
2024-12-06 10:34:15,-1265,-53.0,75.0,-659.0,-457.0
2024-12-06 10:30:25,-659,48.0,267.0,-659.0,128.0
2024-12-06 10:28:11,-760,48.0,48.0,-558.0,-457.0
2024-12-06 10:33:34,-962,78.0,128.0,-154.0,58.0
2024-12-06 10:34:23,-154,78.0,528.0,48.0,528.0
2024-12-06 10:28:18,48,48.0,-154.0,-255.0,-659.0
2024-12-06 10:30:13,128,48.0,308.0,48.0,488.0
2024-12-06 10:28:27,48,48.0,48.0,48.0,48.0
2024-12-06 10:30:14,-861,408.0,408.0,-1063.0,-166.0
2024-12-06 10:33:33,-255,-154.0,48.0,-558.0,48.0
2024-12-06 10:28:20,48,48.0,48.0,-53.0,48.0
2024-12-06 10:28:43,-457,-356.0,-760.0,-962.0,48.0
2024-12-06 10:30:48,48,48.0,48.0,48.0,48.0
2024-12-06 10:33:50,-457,-659.0,-154.0,-1063.0,-760.0
2024-12-06 10:28:44,-1366,-861.0,-154.0,-760.0,-558.0
2024-12-06 10:33:57,-14,48.0,185.0,-760.0,498.0
2024-12-06 10:34:40,-134,48.0,417.0,-952.0,427.0
2024-12-06 10:34:49,68,48.0,478.0,48.0,48.0
2024-12-06 10:30:46,-53,48.0,48.0,-356.0,48.0
2024-12-06 10:33:59,78,48.0,377.0,-861.0,-53.0
