Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 08:00:13,-574,32.0,-170.0,-574.0,-271.0
2024-12-06 08:04:23,-978,-877.0,32.0,-271.0,-776.0
2024-12-06 08:03:34,-170,32.0,32.0,-776.0,-69.0
2024-12-06 07:58:23,-978,241.0,342.0,-272.0,241.0
2024-12-06 08:03:33,-69,32.0,32.0,-69.0,32.0
2024-12-06 08:04:24,32,-170.0,32.0,-69.0,32.0
2024-12-06 08:00:14,-271,-574.0,-170.0,-473.0,-170.0
2024-12-06 07:58:24,-372,62.0,142.0,-574.0,-776.0
2024-12-06 08:03:05,-978,-69.0,-372.0,-978.0,60.0
2024-12-06 08:04:12,32,32.0,32.0,32.0,32.0
2024-12-06 08:00:22,32,32.0,32.0,32.0,32.0
2024-12-06 08:00:25,32,32.0,32.0,32.0,32.0
2024-12-06 08:04:15,-282,32.0,282.0,32.0,110.0
2024-12-06 08:03:02,-877,-372.0,-473.0,32.0,-877.0
2024-12-06 07:58:41,-1281,-675.0,-574.0,-1079.0,-776.0
2024-12-06 08:03:56,-170,112.0,32.0,-877.0,-1079.0
2024-12-06 08:04:41,-473,-574.0,-473.0,-877.0,-978.0
2024-12-06 07:58:46,-1079,32.0,-978.0,32.0,-1685.0
2024-12-06 08:00:49,-574,-170.0,-69.0,-372.0,-675.0
2024-12-06 08:04:46,-372,72.0,232.0,-271.0,231.0
2024-12-06 08:03:51,32,32.0,32.0,-473.0,32.0
2024-12-06 08:03:58,-69,32.0,32.0,-473.0,-170.0
2024-12-06 08:00:40,192,62.0,211.0,-1079.0,-72.0
2024-12-06 08:04:48,-343,-271.0,-675.0,-1079.0,-574.0
2024-12-06 07:58:48,32,32.0,32.0,32.0,32.0
2024-12-06 08:00:47,32,32.0,32.0,32.0,32.0
2024-12-06 08:03:03,-473,62.0,-776.0,-877.0,-1180.0
2024-12-06 08:04:14,-69,32.0,-372.0,-271.0,32.0
2024-12-06 08:00:24,-1180,-170.0,-473.0,-574.0,-675.0
2024-12-06 08:03:04,-776,92.0,32.0,-271.0,32.0
2024-12-06 08:00:15,32,32.0,302.0,32.0,32.0
2024-12-06 08:04:25,192,72.0,151.0,-271.0,312.0
2024-12-06 08:03:32,262,-69.0,322.0,-1079.0,322.0
2024-12-06 07:58:25,-877,-776.0,-473.0,-776.0,31.0
2024-12-06 08:03:35,192,62.0,272.0,32.0,32.0
2024-12-06 08:04:22,-574,32.0,-69.0,-574.0,32.0
2024-12-06 08:00:12,-271,32.0,32.0,-271.0,32.0
2024-12-06 07:58:22,32,32.0,-170.0,32.0,32.0
2024-12-06 08:04:49,-978,32.0,-1180.0,-675.0,-473.0
2024-12-06 08:00:46,-574,62.0,102.0,32.0,262.0
2024-12-06 07:58:49,32,262.0,32.0,32.0,32.0
2024-12-06 08:03:59,-372,-69.0,-170.0,32.0,-90.0
2024-12-06 08:00:41,312,-978.0,-1.0,150.0,352.0
2024-12-06 08:00:48,-776,-675.0,-877.0,-473.0,-776.0
2024-12-06 07:58:47,32,32.0,32.0,32.0,32.0
2024-12-06 08:03:50,-978,-473.0,-1281.0,-978.0,-473.0
2024-12-06 08:04:47,-1079,32.0,-271.0,32.0,-1079.0
2024-12-06 07:58:40,-877,32.0,-170.0,-372.0,-1483.0
2024-12-06 08:04:40,-978,32.0,-1079.0,32.0,-978.0
2024-12-06 08:03:57,32,32.0,32.0,32.0,32.0
2024-12-06 08:05:14,-776,-372.0,32.0,-776.0,-69.0
2024-12-06 08:02:03,-675,-1079.0,-776.0,-675.0,32.0
2024-12-06 08:06:33,-473,32.0,-69.0,-1079.0,32.0
2024-12-06 07:59:14,-69,32.0,32.0,-372.0,32.0
2024-12-06 08:01:23,-505,-473.0,50.0,-676.0,49.0
2024-12-06 08:06:34,32,32.0,32.0,32.0,-69.0
2024-12-06 08:02:04,132,62.0,342.0,32.0,32.0
2024-12-06 08:05:13,212,-473.0,-69.0,-69.0,32.0
2024-12-06 07:59:13,32,32.0,32.0,32.0,32.0
2024-12-06 08:01:15,32,32.0,32.0,32.0,32.0
2024-12-06 08:06:02,32,32.0,32.0,32.0,32.0
2024-12-06 08:02:32,-271,32.0,162.0,-170.0,32.0
2024-12-06 08:05:25,32,202.0,-675.0,-574.0,-574.0
2024-12-06 07:59:25,32,32.0,32.0,-877.0,-271.0
2024-12-06 08:05:22,-372,-675.0,-372.0,-776.0,-877.0
2024-12-06 08:02:35,202,32.0,342.0,32.0,332.0
2024-12-06 08:06:05,-473,32.0,-574.0,-675.0,-776.0
2024-12-06 08:01:12,-473,32.0,-574.0,-271.0,-372.0
2024-12-06 07:59:22,-877,-776.0,-675.0,-473.0,-473.0
2024-12-06 08:05:49,32,32.0,32.0,32.0,32.0
2024-12-06 08:01:46,32,32.0,32.0,32.0,32.0
2024-12-06 07:59:49,292,302.0,262.0,32.0,342.0
2024-12-06 08:02:59,-776,262.0,0.0,-675.0,221.0
2024-12-06 08:01:41,29,32.0,29.0,-112.0,132.0
2024-12-06 08:01:48,-170,-978.0,40.0,-877.0,242.0
2024-12-06 07:59:47,32,32.0,32.0,-675.0,181.0
2024-12-06 08:05:47,32,32.0,-271.0,32.0,32.0
2024-12-06 08:02:50,-271,-69.0,312.0,-675.0,312.0
2024-12-06 07:59:40,32,232.0,32.0,32.0,32.0
2024-12-06 08:02:57,32,32.0,32.0,32.0,32.0
2024-12-06 08:05:40,-675,82.0,-807.0,-212.0,40.0
2024-12-06 08:01:13,-675,32.0,-372.0,-473.0,-69.0
2024-12-06 08:06:04,-776,32.0,-776.0,-372.0,-372.0
2024-12-06 08:02:34,-877,-473.0,332.0,-877.0,251.0
2024-12-06 08:05:23,-70,32.0,251.0,-575.0,32.0
2024-12-06 07:59:23,-50,342.0,332.0,-978.0,241.0
2024-12-06 08:05:24,-69,32.0,29.0,-170.0,32.0
2024-12-06 08:06:03,-675,-675.0,-877.0,-776.0,-978.0
2024-12-06 08:01:14,-69,32.0,32.0,32.0,32.0
2024-12-06 07:59:24,32,32.0,32.0,-372.0,32.0
2024-12-06 08:05:12,32,32.0,32.0,32.0,32.0
2024-12-06 08:02:05,192,52.0,302.0,32.0,112.0
2024-12-06 08:06:35,51,32.0,10.0,-170.0,32.0
2024-12-06 08:01:22,-1079,32.0,192.0,-877.0,1.0
2024-12-06 07:59:12,32,32.0,32.0,32.0,32.0
2024-12-06 08:01:25,-847,-352.0,152.0,-877.0,32.0
2024-12-06 08:06:32,-776,-574.0,252.0,-978.0,41.0
2024-12-06 08:02:02,-69,32.0,32.0,32.0,32.0
2024-12-06 08:05:15,32,32.0,32.0,32.0,32.0
2024-12-06 07:59:15,-473,32.0,100.0,-372.0,-544.0
2024-12-06 07:59:41,32,32.0,32.0,32.0,32.0
2024-12-06 08:05:41,-271,-675.0,101.0,-69.0,162.0
2024-12-06 08:02:56,-574,-877.0,-574.0,-877.0,-1079.0
2024-12-06 07:59:46,-473,32.0,262.0,32.0,42.0
2024-12-06 08:01:49,-776,62.0,182.0,-978.0,112.0
2024-12-06 08:02:51,-978,32.0,-271.0,-574.0,-776.0
2024-12-06 08:05:46,32,-271.0,32.0,32.0,-170.0
2024-12-06 08:02:58,-776,32.0,-40.0,-1281.0,32.0
2024-12-06 08:01:40,-170,32.0,32.0,32.0,32.0
2024-12-06 08:05:48,32,32.0,32.0,-170.0,-69.0
2024-12-06 08:06:50,-374,62.0,332.0,342.0,130.0
2024-12-06 08:01:47,312,92.0,342.0,-271.0,352.0
2024-12-06 08:02:42,-69,-170.0,32.0,32.0,32.0
2024-12-06 08:05:55,-574,32.0,32.0,32.0,-877.0
2024-12-06 07:59:55,-574,-877.0,-978.0,-776.0,-877.0
2024-12-06 08:02:45,32,32.0,32.0,32.0,32.0
2024-12-06 07:59:52,-877,-574.0,-271.0,-574.0,-776.0
2024-12-06 08:06:43,32,32.0,32.0,32.0,32.0
2024-12-06 08:01:54,-574,32.0,-69.0,-473.0,-69.0
2024-12-06 08:01:53,-170,32.0,32.0,32.0,282.0
2024-12-06 08:06:44,32,32.0,332.0,32.0,342.0
2024-12-06 08:01:38,32,32.0,32.0,32.0,32.0
2024-12-06 07:59:37,-877,-978.0,-574.0,-1382.0,-574.0
2024-12-06 08:05:08,32,32.0,32.0,32.0,32.0
2024-12-06 08:06:10,-1281,-271.0,-675.0,-978.0,-1180.0
2024-12-06 08:01:07,-574,32.0,-69.0,-776.0,32.0
2024-12-06 07:59:08,32,32.0,32.0,32.0,32.0
2024-12-06 08:05:37,-655,-241.0,49.0,-372.0,39.0
2024-12-06 08:02:20,9,1.0,332.0,-1180.0,-52.0
2024-12-06 08:02:18,32,32.0,32.0,-170.0,32.0
2024-12-06 08:06:28,-1180,32.0,-776.0,-877.0,-877.0
2024-12-06 07:59:30,-675,-776.0,-372.0,-776.0,-574.0
2024-12-06 08:02:27,32,32.0,-473.0,-271.0,32.0
2024-12-06 08:05:30,292,-69.0,251.0,32.0,-62.0
2024-12-06 08:01:00,-372,32.0,32.0,-1180.0,-574.0
